character,word,freq
Dwight,understand,25
Jim,assistant,25
Jim,coming,25
Jim,perfect,25
Kevin,wait,25
Michael,air,25
Michael,boy,25
Michael,cut,25
Michael,dead,25
Michael,door,25
Michael,lives,25
Michael,prison,25
Michael,push,25
Michael,suck,25
Michael,top,25
Michael,ugh,25
Michael,walk,25
Pam,jan,25
Pam,listen,25
Pam,talking,25
Pam,thinking,25
Andy,car,24
Andy,gotta,24
Andy,hmm,24
Dwight,alright,24
Dwight,gotta,24
Dwight,told,24
Dwight,watch,24
Erin,time,24
Jim,halpert,24
Jim,mm,24
Jim,question,24
Jim,remember,24
Jim,wife,24
Michael,ago,24
Michael,bed,24
Michael,beep,24
Michael,busy,24
Michael,fat,24
Michael,favorite,24
Michael,hands,24
Michael,mine,24
Michael,plan,24
Michael,regional,24
Michael,rest,24
Michael,sense,24
Michael,sir,24
Pam,baby,24
Pam,called,24
Pam,happened,24
Pam,wrong,24
Andy,boss,23
Andy,la,23
Andy,play,23
Andy,robert,23
Angela,andy,23
Angela,people,23
Dwight,blood,23
Dwight,ugh,23
Dwight,walk,23
Erin,dwight,23
Jim,hot,23
Jim,quick,23
Jim,stanley,23
Jim,TRUE,23
Kevin,kevin,23
Kevin,people,23
Michael,absolutely,23
Michael,bet,23
Michael,dating,23
Michael,dream,23
Michael,follow,23
Michael,halpert,23
Michael,learned,23
Michael,met,23
Michael,ooh,23
Michael,ride,23
Michael,roy,23
Michael,save,23
Michael,wearing,23
Michael,wife,23
Michael,wonderful,23
Michael,write,23
Pam,funny,23
Pam,meeting,23
Pam,morning,23
Pam,pretty,23
Pam,roy,23
Andy,crazy,22
Andy,hard,22
Andy,meeting,22
Dwight,branch,22
Dwight,darryl,22
Dwight,door,22
Dwight,half,22
Dwight,heard,22
Dwight,store,22
Dwight,war,22
Jim,ago,22
Jim,boss,22
Jim,life,22
Jim,move,22
Jim,ryan,22
Jim,sales,22
Kevin,angela,22
Michael,ahead,22
Michael,ahh,22
Michael,award,22
Michael,bunch,22
Michael,charles,22
Michael,cream,22
Michael,easy,22
Michael,foot,22
Michael,girls,22
Michael,hospital,22
Michael,kay,22
Michael,leaving,22
Michael,mistake,22
Michael,sabre,22
Michael,salesman,22
Michael,sound,22
Michael,sweet,22
Michael,water,22
Michael,wedding,22
Oscar,dwight,22
Oscar,pam,22
Pam,jim's,22
Pam,means,22
Pam,mm,22
Pam,paper,22
Pam,sounds,22
Pam,supposed,22
Pam,wanna,22
Andy,nard,21
Andy,phyllis,21
Andy,told,21
Andy,wait,21
Angela,cat,21
Dwight,beet,21
Dwight,bring,21
Dwight,drive,21
Dwight,erin,21
Dwight,funny,21
Dwight,hour,21
Dwight,la,21
Dwight,means,21
Dwight,mine,21
Dwight,minute,21
Dwight,mm,21
Dwight,plan,21
Dwight,temp,21
Dwight,toby,21
Erin,stop,21
Jim,awesome,21
Jim,friends,21
Jim,hear,21
Jim,kelly,21
Jim,kidding,21
Jim,meet,21
Jim,mom,21
Jim,started,21
Jim,taking,21
Jim,watch,21
Jim,world,21
Jim,yup,21
Kevin,cool,21
Michael,agree,21
Michael,box,21
Michael,enjoy,21
Michael,fair,21
Michael,feeling,21
Michael,free,21
Michael,gentlemen,21
Michael,giving,21
Michael,ice,21
Michael,la,21
Michael,married,21
Michael,middle,21
Michael,moment,21
Michael,pants,21
Michael,playing,21
Michael,send,21
Michael,town,21
Michael,worse,21
Oscar,time,21
Pam,bad,21
Andy,care,20
Andy,deal,20
Andy,dunder,20
Andy,home,20
Andy,kevin,20
Andy,mind,20
Andy,warehouse,20
Angela,fine,20
Dwight,boom,20
Dwight,em,20
Dwight,halpert,20
Dwight,hay,20
Dwight,hours,20
Dwight,kelly,20
Dwight,kidding,20
Dwight,meredith,20
Dwight,person,20
Dwight,ten,20
Dwight,thinking,20
Dwight,women,20
Erin,andy's,20
Erin,love,20
Jim,bring,20
Jim,easy,20
Jim,kev,20
Jim,leave,20
Jim,ooh,20
Jim,ya,20
Kevin,awesome,20
Michael,amazing,20
Michael,answer,20
Michael,ball,20
Michael,bathroom,20
Michael,beat,20
Michael,catch,20
Michael,class,20
Michael,coffee,20
Michael,days,20
Michael,explain,20
Michael,goodbye,20
Michael,hair,20
Michael,hilarious,20
Michael,hours,20
Michael,late,20
Michael,move,20
Michael,relationship,20
Michael,rules,20
Michael,trouble,20
Michael,worry,20
Oscar,people,20
Pam,friend,20
Pam,gosh,20
Pam,start,20
Pam,started,20
Pam,ten,20
Andy,dog,19
Andy,friends,19
Andy,happy,19
Andy,life,19
Andy,mifflin,19
Andy,oscar,19
Andy,sales,19
Andy,stanley,19
Andy,wanna,19
Angela,phyllis,19
Dwight,couple,19
Dwight,deal,19
Dwight,excellent,19
Dwight,found,19
Dwight,hands,19
Dwight,horse,19
Dwight,luck,19
Dwight,ow,19
Dwight,perfect,19
Dwight,play,19
Dwight,totally,19
Dwight,write,19
Erin,god,19
Jim,close,19
Jim,girl,19
Jim,karen,19
Jim,kevin,19
Jim,months,19
Jim,pam's,19
Jim,worry,19
Kevin,andy,19
Kevin,eat,19
Michael,brain,19
Michael,cake,19
Michael,charge,19
Michael,count,19
Michael,dog,19
Michael,dundies,19
Michael,excellent,19
Michael,gabe,19
Michael,honor,19
Michael,human,19
Michael,karen,19
Michael,months,19
Michael,offer,19
Michael,scared,19
Michael,seat,19
Michael,shake,19
Michael,sitting,19
Michael,starting,19
Michael,trip,19
Pam,desk,19
Pam,friends,19
Pam,leave,19
Pam,life,19
Pam,lunch,19
Pam,meredith,19
Pam,minutes,19
Pam,scranton,19
Pam,week,19
Andy,dance,18
Andy,kinda,18
Dwight,bit,18
Dwight,boss,18
Dwight,boy,18
Dwight,building,18
Dwight,child,18
Dwight,die,18
Dwight,father,18
Dwight,fear,18
Dwight,friends,18
Dwight,girl,18
Dwight,gun,18
Dwight,hard,18
Dwight,hit,18
Dwight,king,18
Dwight,list,18
Dwight,monkey,18
Dwight,month,18
Dwight,offer,18
Dwight,power,18
Dwight,sale,18
Dwight,shut,18
Dwight,terrible,18
Dwight,test,18
Dwight,twenty,18
Dwight,wallace,18
Jim,angela,18
Jim,birthday,18
Jim,break,18
Jim,cece,18
Jim,david,18
Jim,figure,18
Jim,late,18
Jim,money,18
Jim,roy,18
Jim,tomorrow,18
Jim,wrong,18
Michael,bus,18
Michael,butt,18
Michael,decided,18
Michael,decision,18
Michael,employees,18
Michael,excited,18
Michael,found,18
Michael,hoo,18
Michael,hurt,18
Michael,king,18
Michael,likes,18
Michael,monkey,18
Michael,mother,18
Michael,past,18
Michael,questions,18
Michael,son,18
Michael,speak,18
Michael,touch,18
Michael,tough,18
Michael,truck,18
Pam,ago,18
Pam,art,18
Pam,crazy,18
Pam,cute,18
Pam,ha,18
Pam,hear,18
Pam,kinda,18
Pam,michael's,18
Pam,stay,18
Pam,times,18
Pam,toby,18
Pam,totally,18
Andy,baby,17
Andy,bad,17
Andy,break,17
Andy,close,17
Andy,damn,17
Andy,girlfriend,17
Andy,head,17
Andy,leave,17
Dwight,buy,17
Dwight,clients,17
Dwight,crazy,17
Dwight,hair,17
Dwight,information,17
Dwight,meet,17
Dwight,mind,17
Dwight,personal,17
Dwight,robert,17
Dwight,school,17
Dwight,stand,17
